2011-08-18 16:16:14 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\quizscript\app\controllers\quizzes_controller.php, line 11]
2011-08-18 16:21:06 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-18 16:21:08 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-18 16:21:21 Debug: Notice (8): Undefined index: Quizzes in [C:\xampp\htdocs\quizscript\app\controllers\quizzes_controller.php, line 11]
2011-08-18 16:21:38 Debug: Notice (8): Undefined index: Quizes in [C:\xampp\htdocs\quizscript\app\controllers\quizzes_controller.php, line 11]
2011-08-18 16:21:46 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\quizscript\app\controllers\quizzes_controller.php, line 11]
2011-08-18 16:23:27 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\quizscript\app\controllers\quizzes_controller.php, line 11]
2011-08-18 16:24:47 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\quizscript\app\controllers\quizzes_controller.php, line 11]
2011-08-18 20:58:19 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-18 21:32:24 Debug: Notice (8): Undefined property: Question::$Quiz in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:32:47 Debug: Notice (8): Undefined property: QuestionsController::$Quiz in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:32:47 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:34:03 Debug: Notice (8): Undefined property: QuestionsController::$Quiz in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:34:03 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:34:04 Debug: Notice (8): Undefined property: QuestionsController::$Quiz in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:34:04 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
2011-08-18 21:34:05 Debug: Notice (8): Undefined property: QuestionsController::$Quiz in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 9]
